Organisation,Launch Pad,Launch Center,Launch State,Launch Country,Month,Year
RVSN USSR,Site 1/5,Baikonur Cosmodrome,,Kazakhstan,Oct,1966
RVSN USSR,Site 41/1,Plesetsk Cosmodrome,,Russia,Oct,1966
General Dynamics,SLC-4E,Vandenberg AFB,California,USA,Oct,1966
General Dynamics,SLC-3E,Vandenberg AFB,California,USA,Oct,1966
US Air Force,SLC-4W,Vandenberg AFB,California,USA,Sep,1966
UT,Uchinoura Space Center,Japan,,,Sep,1966
General Dynamics,SLC-36A,Cape Canaveral AFS,Florida,USA,Sep,1966
RVSN USSR,Site 162,Baikonur Cosmodrome,,Kazakhstan,Sep,1966
General Dynamics,SLC-4E,Vandenberg AFB,California,USA,Sep,1966
RVSN USSR,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,Sep,1966
NASA,LC-19,Cape Canaveral AFS,Florida,USA,Sep,1966
General Dynamics,LC-14,Cape Canaveral AFS,Florida,USA,Sep,1966
RVSN USSR,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,Aug,1966
Martin Marietta,SLC-41,Cape Canaveral AFS,Florida,USA,Aug,1966
NASA,LC-34,Cape Canaveral AFS,Florida,USA,Aug,1966
RVSN USSR,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,Aug,1966
General Dynamics,SLC-3E,Vandenberg AFB,California,USA,Aug,1966
General Dynamics,SLC-4E,Vandenberg AFB,California,USA,Aug,1966
General Dynamics,LC-13,Cape Canaveral AFS,Florida,USA,Aug,1966
RVSN USSR,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,Aug,1966
US Air Force,SLC-4W,Vandenberg AFB,California,USA,Jul,1966
RVSN USSR,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,Jul,1966
RVSN USSR,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,Jul,1966
NASA,LC-19,Cape Canaveral AFS,Florida,USA,Jul,1966
General Dynamics,LC-14,Cape Canaveral AFS,Florida,USA,Jul,1966
RVSN USSR,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,Jul,1966
General Dynamics,LC-576B3,Vandenberg AFB,California,USA,Jul,1966
General Dynamics,SLC-4E,Vandenberg AFB,California,USA,Jul,1966
RVSN USSR,Site 86/1,Kapustin Yar,,Russia,Jul,1966
RVSN USSR,Site 81/24,Baikonur Cosmodrome,,Kazakhstan,Jul,1966
