Organisation,Launch Pad,Launch Facility,Launch State,Launch Country,Month,Year
General Dynamics,SLC-4W,Vandenberg AFB,California,USA,Jul,1964
General Dynamics,SLC-36A,Cape Canaveral AFS,Florida,USA,Jun,1964
NASA,SLC-37B,Cape Canaveral AFS,Florida,USA,May,1964
General Dynamics,SLC-4W,Vandenberg AFB,California,USA,May,1964
General Dynamics,SLC-4W,Vandenberg AFB,California,USA,Apr,1964
NASA,LC-19,Cape Canaveral AFS,Florida,USA,Apr,1964
General Dynamics,SLC-4W,Vandenberg AFB,California,USA,Mar,1964
General Dynamics,SLC-4W,Vandenberg AFB,California,USA,Feb,1964
General Dynamics,LC-12,Cape Canaveral AFS,Florida,USA,Jan,1964
NASA,LC-34,Cape Canaveral AFS,Florida,USA,Jan,1964
NASA,SLC-5,Vandenberg AFB,California,USA,Dec,1963
General Dynamics,SLC-4W,Vandenberg AFB,California,USA,Dec,1963
General Dynamics,SLC-36A,Cape Canaveral AFS,Florida,USA,Nov,1963
General Dynamics,SLC-4W,Vandenberg AFB,California,USA,Oct,1963
General Dynamics,LC-13,Cape Canaveral AFS,Florida,USA,Oct,1963
US Air Force,SLC-5,Vandenberg AFB,California,USA,Sep,1963
General Dynamics,SLC-4W,Vandenberg AFB,California,USA,Sep,1963
General Dynamics,SLC-3E,Vandenberg AFB,California,USA,Jul,1963
General Dynamics,SLC-4W,Vandenberg AFB,California,USA,Jul,1963
US Air Force,SLC-5,Vandenberg AFB,California,USA,Jun,1963
US Air Force,SLC-5,Vandenberg AFB,California,USA,Jun,1963
General Dynamics,SLC-3E,Vandenberg AFB,California,USA,Jun,1963
NASA,LC-14,Cape Canaveral AFS,Florida,USA,May,1963
General Dynamics,SLC-3E,Vandenberg AFB,California,USA,May,1963
US Air Force,SLC-5,Vandenberg AFB,California,USA,Apr,1963
US Air Force,SLC-5,Vandenberg AFB,California,USA,Apr,1963
US Air Force,SLC-5,Vandenberg AFB,California,USA,Feb,1963
US Air Force,SLC-5,Vandenberg AFB,California,USA,Dec,1962
General Dynamics,SLC-3E,Vandenberg AFB,California,USA,Dec,1962
NASA,LA-3,Wallops Flight Facility,Virginia,USA,Dec,1962
US Air Force,SLC-1E (75-3-5),Vandenberg AFB,California,USA,Dec,1962
US Air Force,SLC-17A,Cape Canaveral AFS,Florida,USA,Dec,1962
US Air Force,SLC-2E (75-1-1),Vandenberg AFB,California,USA,Dec,1962
US Air Force,SLC-2E (75-1-1),Vandenberg AFB,California,USA,Dec,1962
US Air Force,SLC-1W (75-3-4),Vandenberg AFB,California,USA,Nov,1962
General Dynamics,SLC-3W,Vandenberg AFB,California,USA,Nov,1962
US Air Force,SLC-1W (75-3-4),Vandenberg AFB,California,USA,Nov,1962
US Air Force,SLC-17A,Cape Canaveral AFS,Florida,USA,Oct,1962
US Air Force,SLC-17B,Cape Canaveral AFS,Florida,USA,Oct,1962
US Air Force,SLC-2W,Vandenberg AFB,California,USA,Oct,1962
General Dynamics,LC-12,Cape Canaveral AFS,Florida,USA,Oct,1962
US Air Force,SLC-1W (75-3-4),Vandenberg AFB,California,USA,Oct,1962
NASA,LC-14,Cape Canaveral AFS,Florida,USA,Oct,1962
US Air Force,SLC-17B,Cape Canaveral AFS,Florida,USA,Oct,1962
US Air Force,SLC-2W,Vandenberg AFB,California,USA,Sep,1962
US Air Force,SLC-2E (75-1-1),Vandenberg AFB,California,USA,Sep,1962
US Air Force,SLC-17A,Cape Canaveral AFS,Florida,USA,Sep,1962
US Air Force,SLC-1W (75-3-4),Vandenberg AFB,California,USA,Sep,1962
US Air Force,SLC-1E (75-3-5),Vandenberg AFB,California,USA,Sep,1962
US Air Force,SLC-2W,Vandenberg AFB,California,USA,Aug,1962
General Dynamics,LC-12,Cape Canaveral AFS,Florida,USA,Aug,1962
US Air Force,SLC-5,Vandenberg AFB,California,USA,Aug,1962
General Dynamics,SLC-3W,Vandenberg AFB,California,USA,Aug,1962
US Air Force,SLC-2E (75-1-1),Vandenberg AFB,California,USA,Aug,1962
US Air Force,SLC-1W (75-3-4),Vandenberg AFB,California,USA,Jul,1962
General Dynamics,LC-12,Cape Canaveral AFS,Florida,USA,Jul,1962
US Air Force,SLC-1E (75-3-5),Vandenberg AFB,California,USA,Jul,1962
General Dynamics,SLC-3W,Vandenberg AFB,California,USA,Jul,1962
US Air Force,SLC-17B,Cape Canaveral AFS,Florida,USA,Jul,1962
US Air Force,SLC-2E (75-1-1),Vandenberg AFB,California,USA,Jun,1962
US Air Force,SLC-1W (75-3-4),Vandenberg AFB,California,USA,Jun,1962
US Air Force,SLC-17A,Cape Canaveral AFS,Florida,USA,Jun,1962
US Air Force,SLC-1E (75-3-5),Vandenberg AFB,California,USA,Jun,1962
General Dynamics,SLC-3W,Vandenberg AFB,California,USA,Jun,1962
US Air Force,SLC-1W (75-3-4),Vandenberg AFB,California,USA,Jun,1962
US Air Force,SLC-2E (75-1-1),Vandenberg AFB,California,USA,May,1962
NASA,LC-14,Cape Canaveral AFS,Florida,USA,May,1962
US Air Force,SLC-5,Vandenberg AFB,California,USA,May,1962
US Air Force,SLC-1E (75-3-5),Vandenberg AFB,California,USA,May,1962
US Air Force,SLC-17B,Cape Canaveral AFS,Florida,USA,May,1962
General Dynamics,SLC-36A,Cape Canaveral AFS,Florida,USA,May,1962
US Air Force,SLC-1W (75-3-4),Vandenberg AFB,California,USA,Apr,1962
General Dynamics,SLC-3W,Vandenberg AFB,California,USA,Apr,1962
US Air Force,SLC-17A,Cape Canaveral AFS,Florida,USA,Apr,1962
NASA,LA-3,Wallops Flight Facility,Virginia,USA,Apr,1962
General Dynamics,LC-12,Cape Canaveral AFS,Florida,USA,Apr,1962
US Air Force,SLC-1E (75-3-5),Vandenberg AFB,California,USA,Apr,1962
General Dynamics,SLC-3E,Vandenberg AFB,California,USA,Apr,1962
General Dynamics,SLC-3E,Vandenberg AFB,California,USA,Mar,1962
US Air Force,SLC-17A,Cape Canaveral AFS,Florida,USA,Mar,1962
US Air Force,SLC-1W (75-3-4),Vandenberg AFB,California,USA,Feb,1962
US Air Force,SLC-1E (75-3-5),Vandenberg AFB,California,USA,Feb,1962
NASA,LC-14,Cape Canaveral AFS,Florida,USA,Feb,1962
US Air Force,SLC-17A,Cape Canaveral AFS,Florida,USA,Feb,1962
General Dynamics,LC-12,Cape Canaveral AFS,Florida,USA,Jan,1962
US Air Force,SLC-17B,Cape Canaveral AFS,Florida,USA,Jan,1962
US Air Force,SLC-1W (75-3-4),Vandenberg AFB,California,USA,Jan,1962
General Dynamics,SLC-3E,Vandenberg AFB,California,USA,Dec,1961
US Air Force,SLC-1W (75-3-4),Vandenberg AFB,California,USA,Dec,1961
NASA,LC-14,Cape Canaveral AFS,Florida,USA,Nov,1961
General Dynamics,SLC-3W,Vandenberg AFB,California,USA,Nov,1961
General Dynamics,LC-12,Cape Canaveral AFS,Florida,USA,Nov,1961
US Air Force,SLC-17B,Cape Canaveral AFS,Florida,USA,Nov,1961
US Air Force,SLC-1W (75-3-4),Vandenberg AFB,California,USA,Nov,1961
US Air Force,SLC-2E (75-1-1),Vandenberg AFB,California,USA,Nov,1961
NASA,LC-18B,Cape Canaveral AFS,Florida,USA,Nov,1961
US Air Force,SLC-1E (75-3-5),Vandenberg AFB,California,USA,Oct,1961
General Dynamics,SLC-3E,Vandenberg AFB,California,USA,Oct,1961
US Air Force,SLC-1W (75-3-4),Vandenberg AFB,California,USA,Oct,1961
US Air Force,SLC-2E (75-1-1),Vandenberg AFB,California,USA,Sep,1961
NASA,LC-14,Cape Canaveral AFS,Florida,USA,Sep,1961
US Air Force,SLC-1E (75-3-5),Vandenberg AFB,California,USA,Sep,1961
General Dynamics,SLC-3W,Vandenberg AFB,California,USA,Sep,1961
US Air Force,SLC-1W (75-3-4),Vandenberg AFB,California,USA,Aug,1961
NASA,LA-3,Wallops Flight Facility,Virginia,USA,Aug,1961
General Dynamics,LC-12,Cape Canaveral AFS,Florida,USA,Aug,1961
US Air Force,SLC-17A,Cape Canaveral AFS,Florida,USA,Aug,1961
US Air Force,SLC-2E (75-1-1),Vandenberg AFB,California,USA,Aug,1961
US Air Force,SLC-1W (75-3-4),Vandenberg AFB,California,USA,Jul,1961
NASA,LC-5,Cape Canaveral AFS,Florida,USA,Jul,1961
General Dynamics,SLC-3E,Vandenberg AFB,California,USA,Jul,1961
US Air Force,SLC-17A,Cape Canaveral AFS,Florida,USA,Jul,1961
US Air Force,SLC-1E (75-3-5),Vandenberg AFB,California,USA,Jul,1961
NASA,LA-3,Wallops Flight Facility,Virginia,USA,Jun,1961
US Air Force,SLC-17B,Cape Canaveral AFS,Florida,USA,Jun,1961
US Air Force,SLC-2E (75-1-1),Vandenberg AFB,California,USA,Jun,1961
US Air Force,SLC-1W (75-3-4),Vandenberg AFB,California,USA,Jun,1961
NASA,LC-5,Cape Canaveral AFS,Florida,USA,May,1961
NASA,LC-14,Cape Canaveral AFS,Florida,USA,Apr,1961
US Air Force,SLC-1E (75-3-5),Vandenberg AFB,California,USA,Apr,1961
US Air Force,SLC-1W (75-3-4),Vandenberg AFB,California,USA,Mar,1961
US Air Force,SLC-17A,Cape Canaveral AFS,Florida,USA,Mar,1961
NASA,LC-5,Cape Canaveral AFS,Florida,USA,Mar,1961
US Air Force,SLC-17B,Cape Canaveral AFS,Florida,USA,Feb,1961
NASA,LC-14,Cape Canaveral AFS,Florida,USA,Feb,1961
US Air Force,SLC-1E (75-3-5),Vandenberg AFB,California,USA,Feb,1961
US Air Force,SLC-1W (75-3-4),Vandenberg AFB,California,USA,Feb,1961
NASA,LA-3,Wallops Flight Facility,Virginia,USA,Feb,1961
General Dynamics,SLC-3W,Vandenberg AFB,California,USA,Jan,1961
NASA,LC-5,Cape Canaveral AFS,Florida,USA,Jan,1961
US Air Force,SLC-1E (75-3-5),Vandenberg AFB,California,USA,Dec,1960
NASA,LC-5,Cape Canaveral AFS,Florida,USA,Dec,1960
General Dynamics,LC-12,Cape Canaveral AFS,Florida,USA,Dec,1960
US Air Force,SLC-1W (75-3-4),Vandenberg AFB,California,USA,Dec,1960
NASA,LA-3,Wallops Flight Facility,Virginia,USA,Dec,1960
US Air Force,SLC-17B,Cape Canaveral AFS,Florida,USA,Nov,1960
US Air Force,SLC-17A,Cape Canaveral AFS,Florida,USA,Nov,1960
NASA,LC-5,Cape Canaveral AFS,Florida,USA,Nov,1960
US Air Force,SLC-1E (75-3-5),Vandenberg AFB,California,USA,Nov,1960
US Air Force,SLC-1W (75-3-4),Vandenberg AFB,California,USA,Oct,1960
General Dynamics,SLC-3W,Vandenberg AFB,California,USA,Oct,1960
US Air Force,SLC-17B,Cape Canaveral AFS,Florida,USA,Oct,1960
General Dynamics,LC-12,Cape Canaveral AFS,Florida,USA,Sep,1960
US Air Force,SLC-1E (75-3-5),Vandenberg AFB,California,USA,Sep,1960
US Air Force,SLC-17B,Cape Canaveral AFS,Florida,USA,Aug,1960
US Air Force,SLC-1W (75-3-4),Vandenberg AFB,California,USA,Aug,1960
US Air Force,SLC-17A,Cape Canaveral AFS,Florida,USA,Aug,1960
US Air Force,SLC-1E (75-3-5),Vandenberg AFB,California,USA,Aug,1960
NASA,LC-14,Cape Canaveral AFS,Florida,USA,Jul,1960
US Air Force,SLC-1W (75-3-4),Vandenberg AFB,California,USA,Jun,1960
US Air Force,SLC-17B,Cape Canaveral AFS,Florida,USA,Jun,1960
General Dynamics,LC-14,Cape Canaveral AFS,Florida,USA,May,1960
US Air Force,SLC-17A,Cape Canaveral AFS,Florida,USA,May,1960
US Air Force,SLC-1E (75-3-5),Vandenberg AFB,California,USA,Apr,1960
US Air Force,SLC-17B,Cape Canaveral AFS,Florida,USA,Apr,1960
US Air Force,SLC-17A,Cape Canaveral AFS,Florida,USA,Apr,1960
US Air Force,SLC-17A,Cape Canaveral AFS,Florida,USA,Mar,1960
General Dynamics,LC-14,Cape Canaveral AFS,Florida,USA,Feb,1960
US Air Force,SLC-1E (75-3-5),Vandenberg AFB,California,USA,Feb,1960
US Air Force,SLC-1W (75-3-4),Vandenberg AFB,California,USA,Feb,1960
General Dynamics,LC-14,Cape Canaveral AFS,Florida,USA,Nov,1959
US Air Force,SLC-1E (75-3-5),Vandenberg AFB,California,USA,Nov,1959
US Air Force,SLC-1W (75-3-4),Vandenberg AFB,California,USA,Nov,1959
US Navy,LC-18A,Cape Canaveral AFS,Florida,USA,Sep,1959
US Air Force,SLC-17A,Cape Canaveral AFS,Florida,USA,Sep,1959
NASA,LC-14,Cape Canaveral AFS,Florida,USA,Sep,1959
US Air Force,SLC-1E (75-3-5),Vandenberg AFB,California,USA,Aug,1959
US Air Force,SLC-1W (75-3-4),Vandenberg AFB,California,USA,Aug,1959
US Air Force,SLC-17A,Cape Canaveral AFS,Florida,USA,Aug,1959
US Air Force,SLC-1E (75-3-5),Vandenberg AFB,California,USA,Jun,1959
US Navy,LC-18A,Cape Canaveral AFS,Florida,USA,Jun,1959
US Air Force,SLC-1W (75-3-4),Vandenberg AFB,California,USA,Jun,1959
US Navy,LC-18A,Cape Canaveral AFS,Florida,USA,Apr,1959
US Air Force,SLC-1W (75-3-4),Vandenberg AFB,California,USA,Apr,1959
US Air Force,SLC-1W (75-3-4),Vandenberg AFB,California,USA,Feb,1959
US Navy,LC-18A,Cape Canaveral AFS,Florida,USA,Feb,1959
US Air Force,LC-11,Cape Canaveral AFS,Florida,USA,Dec,1958
AMBA,LC-5,Cape Canaveral AFS,Florida,USA,Dec,1958
NASA,SLC-17A,Cape Canaveral AFS,Florida,USA,Nov,1958
AMBA,LC-5,Cape Canaveral AFS,Florida,USA,Oct,1958
NASA,SLC-17A,Cape Canaveral AFS,Florida,USA,Oct,1958
US Navy,LC-18A,Cape Canaveral AFS,Florida,USA,Sep,1958
US Navy,Douglas F4D Skyray,Naval Air Station Point Mugu,California,USA,Aug,1958
US Navy,Douglas F4D Skyray,Naval Air Station Point Mugu,California,USA,Aug,1958
US Navy,Douglas F4D Skyray,Naval Air Station Point Mugu,California,USA,Aug,1958
AMBA,LC-5,Cape Canaveral AFS,Florida,USA,Aug,1958
US Navy,Douglas F4D Skyray,Naval Air Station Point Mugu,California,USA,Aug,1958
US Air Force,SLC-17A,Cape Canaveral AFS,Florida,USA,Aug,1958
US Navy,Douglas F4D Skyray,Naval Air Station Point Mugu,California,USA,Aug,1958
AMBA,LC-5,Cape Canaveral AFS,Florida,USA,Jul,1958
US Navy,Douglas F4D Skyray,Naval Air Station Point Mugu,California,USA,Jul,1958
US Navy,LC-18A,Cape Canaveral AFS,Florida,USA,Jun,1958
US Navy,LC-18A,Cape Canaveral AFS,Florida,USA,May,1958
US Navy,LC-18A,Cape Canaveral AFS,Florida,USA,Apr,1958
AMBA,LC-5,Cape Canaveral AFS,Florida,USA,Mar,1958
US Navy,LC-18A,Cape Canaveral AFS,Florida,USA,Mar,1958
AMBA,LC-26A,Cape Canaveral AFS,Florida,USA,Mar,1958
US Navy,LC-18A,Cape Canaveral AFS,Florida,USA,Feb,1958
AMBA,LC-26A,Cape Canaveral AFS,Florida,USA,Feb,1958
US Navy,LC-18A,Cape Canaveral AFS,Florida,USA,Dec,1957
